# sections
CS Mentorship
CS Research
CS Research Experience Undergraduates (REU)
CS Scholarships
CS conferences and scholarships
CS exploratory programs
CS fellowships
CS internship alternative
CS underclassmen internships
Coding interview resources
Finance and consulting exploratory programs
For rising seniors and seniors
Other stuff
Part-time internships
# rows
CS exploratory programs	[HRT Women in Trading Technology Internship - Jan](https://www.hudsonrivertrading.com/student-opportunities/)	Name=[HRT Women in Trading Technology Internship - Jan](https://www.hudsonrivertrading.com/student-opportunities/); Description=An informative 4 week exploration into automated trading. The goal of this program is to give Freshmen and Sophomores who don’t currently have exposure into our industry and insight into who we are and what we do.; Approximate Deadline=November
CS exploratory programs	[Ignite with Tech](https://bankcampuscareers.tal.net/vx/mobile-0/brand-4/candidate/so/pm/1/pl/1/opp/2067-Ignite-with-Tech/en-GB?fbclid=IwAR2lPQ8W7_graetvLg1dvaryK3wdtx3oYmGwvPMfwHPx3ORDAVuYShGuVfw)	Name=[Ignite with Tech](https://bankcampuscareers.tal.net/vx/mobile-0/brand-4/candidate/so/pm/1/pl/1/opp/2067-Ignite-with-Tech/en-GB?fbclid=IwAR2lPQ8W7_graetvLg1dvaryK3wdtx3oYmGwvPMfwHPx3ORDAVuYShGuVfw); Description=The Bank of America Ignite with Tech Program is a one and a half day insight program targeted to Black, African American, Hispanic, Latino, Alaskan Native and American Indian freshman and sophomore students interested in our technology business. This event provides a unique opportunity to meet business professionals first hand, learn about the financial services industry, and start preparing for the application process.; Approximate Deadline=March
CS exploratory programs	[Jane Street FTTP](https://www.janestreet.com/join-jane-street/programs-and-events/fttp/)	Name=[Jane Street FTTP](https://www.janestreet.com/join-jane-street/programs-and-events/fttp/); Description=Over the course of a few days, a select group of first-year undergraduates will learn more about Jane Street’s innovative trading and technology models through a series of classes and a team-based mock trading simulation game.; Approximate Deadline=July
CS exploratory programs	[Jane Street Insight](https://www.janestreet.com/join-jane-street/programs-and-events/insight/)	Name=[Jane Street Insight](https://www.janestreet.com/join-jane-street/programs-and-events/insight/); Description=In this multi-day program, we invite women, transgender, and/or gender-expansive individuals to learn about the roles within our firm and how we solve challenges at Jane Street — including the specific concepts and tools we use in our daily work.; Approximate Deadline=July
CS exploratory programs	[Jane Street Programs](https://www.janestreet.com/join-jane-street/our-programs/)	Name=[Jane Street Programs](https://www.janestreet.com/join-jane-street/our-programs/); Description=If you have never thought about a career in finance, you are in good company. Many of us had little to no experience in economics or finance before working here. We look for smart people from any background with a curious mind and a passion for technology and creative problem-solving. In other words, people like you!; Approximate Deadline=Depends on the program
CS exploratory programs	[Jane Street Women in Tech and Trading](https://www.janestreet.com/witt)	Name=[Jane Street Women in Tech and Trading](https://www.janestreet.com/witt); Description=Women in Trading and Technology (WiTT) is a three-day programme designed for women in their penultimate year of university as of autumn 2020. Participants will have an exclusive opportunity to explore careers within our firm and attend one of two educational programmes: quantitative trading and software engineering.; Approximate Deadline=June
CS exploratory programs	[P&G Emerging Leaders Information Technology](https://www.pgcareers.com/job/cincinnati/information-technology-emerging-leaders-2022-internship-sophomore/936/17085179)	Name=[P&G Emerging Leaders Information Technology](https://www.pgcareers.com/job/cincinnati/information-technology-emerging-leaders-2022-internship-sophomore/936/17085179); Description=Join us for an all-expense paid 3 day trip to our global headquarters in Cincinnati, Ohio to see what P&G stands for and why this is the place for you! Meet our leaders, learn about our brands, the amazing careers we nurture and grow, and the millions of lives you can impact along the way. You will be with 200 of the best top candidates from around the country. You will have a BLAST and a chance to walk away with an IT internship with us for the summer of 2022. Sophomores.; Approximate Deadline=September
CS exploratory programs	[Palantir Launch: Spring Program](https://www.palantir.com/careers/students/launch/)	Name=[Palantir Launch: Spring Program](https://www.palantir.com/careers/students/launch/); Description=The Palantir Launch: Spring Program is an insight program for students looking to accelerate their personal and technical growth in preparation for a successful, impactful career in tech. Across the course of one week you’ll get exposure to different aspects of Palantir’s business and the skills needed to help us solve some of the world’s hardest problems.; Approximate Deadline=Fall
CS exploratory programs	[Spring technology early insight Morgan Stanley](https://morganstanley.tal.net/vx/lang-en-GB/mobile-0/brand-2/candidate/so/pm/1/pl/2/opp/9425-2020-Spring-Technology-Early-Insights-Day/en-GB)	Name=[Spring technology early insight Morgan Stanley](https://morganstanley.tal.net/vx/lang-en-GB/mobile-0/brand-2/candidate/so/pm/1/pl/2/opp/9425-2020-Spring-Technology-Early-Insights-Day/en-GB); Description=We invite students who are interested in learning about our 2021 Technology Campus Programs and the world of Technology at Morgan Stanley to apply for an opportunity to attend our Spring Technology Early Insights Event in our New York City office. Participation is limited and selected candidates will be notified directly.; Approximate Deadline=March
CS exploratory programs	[Technology Inside Track Series Diversity Program](https://joinus.barclays/americas/diversity-programs-career/technology-inside-track-series-diversity-program/)	Name=[Technology Inside Track Series Diversity Program](https://joinus.barclays/americas/diversity-programs-career/technology-inside-track-series-diversity-program/); Description=If you're a dedicated and motivated junior – and you've already decided your future is in financial services – apply for the Barclays Technology Inside Track Series! It’s a great way to secure an early offer. That way, you can spend the school year focused on studying, not recruitment.; Approximate Deadline=September
